099,0,i,14,ala-arvoisesti
006,0,i,10,alabasteri
008,0,e,10,à la carte
005,0,i,7,aladobi
009,0,a,10,alaikäraja
038,0,n,7,alainen
040,0,s,8,alaisuus
099,0,a,11,alakantissa
099,0,n,11,alakanttiin
099,0,n,8,alakkain
038,0,n,10,alakkainen
010,F,a,8,alakohta
001,0,o,7,alakulo
038,0,n,11,alakuloinen
099,0,i,13,alakuloisesti
040,0,s,12,alakuloisuus
099,0,ä,11,alakynnessä
099,0,n,10,alakynteen
099,0,n,8,alallaan
099,0,n,8,alalleen
038,0,n,9,alamainen
099,0,i,11,alamaisesti
040,0,s,10,alamaisuus
001,G,o,6,alanko
048,J,e,6,alanne
009,0,a,7,alaraja
099,0,s,4,alas
033,0,n,6,alasin
010,0,a,14,alaslaskettava
099,0,n,8,alassuin
099,0,i,6,alasti
040,0,s,10,alastomuus
034,0,n,7,alaston
099,0,i,5,alati
099,0,n,9,alatusten
099,0,n,10,alatuuleen
099,0,a,11,alatuulessa
010,0,a,5,alava
040,0,s,7,alavuus
009,0,a,4,alba
006,0,i,7,albaani
012,0,a,7,albania
038,0,n,13,albanialainen
005,0,i,10,albatrossi
002,0,o,7,albiino
005,0,i,9,albinismi
006,0,i,6,albumi
008,0,e,3,ale
005,0,i,8,alehalli
099,0,n,8,alekkain
004,A,o,14,aleksityymikko
038,0,n,14,aleksityyminen
099,0,a,6,alemma
099,0,i,9,alemmaksi
099,0,s,7,alemmas
040,0,s,8,alemmuus
099,0,a,7,alempaa
099,0,a,8,alempana
016,H,i,6,alempi
010,0,a,7,alenema
010,0,a,7,aleneva
039,0,s,7,alennus
005,0,i,12,alennushalli
054,J,a,7,alentaa
010,0,a,8,alentava
052,J,a,7,alentua
010,0,a,8,alentuva
038,0,n,12,alentuvainen
099,0,i,14,alentuvaisesti
040,0,s,13,alentuvaisuus
099,0,i,11,alentuvasti
040,0,s,10,alentuvuus
072,0,a,5,aleta
099,0,n,9,aletusten
009,0,a,4,alfa
009,0,a,7,alfalfa
011,0,a,7,algebra
038,0,n,13,algebrallinen
005,0,i,9,algoritmi
099,0,a,8,alhaalla
099,0,e,8,alhaalle
099,0,a,8,alhaalta
038,0,n,8,alhainen
099,0,i,10,alhaisesti
002,0,o,7,alhaiso
040,0,s,9,alhaisuus
001,0,o,4,alho
099,0,i,3,ali
099,0,s,5,alias
005,0,i,5,alibi
001,C,u,12,aliedustettu
038,0,n,12,alijäämäinen
039,0,s,9,alikasvos
099,0,a,6,alimma
038,0,n,10,alimmainen
099,0,i,9,alimmaksi
099,0,s,7,alimmas
099,0,a,8,alimpana
036,0,n,4,alin
038,0,n,6,alinen
099,0,a,8,alinomaa
038,0,n,11,alinomainen
010,0,a,12,aliohjautuva
001,C,u,11,alipalkattu
001,C,u,10,aliravittu
053,0,a,7,alistaa
038,0,n,10,alisteinen
040,0,s,11,alisteisuus
052,0,a,7,alistua
039,0,s,7,alistus
010,0,a,8,alistuva
038,0,n,12,alistuvainen
040,0,s,13,alistuvaisuus
040,0,s,10,alistuvuus
099,0,e,6,alitse
053,C,a,7,alittaa
052,C,a,7,alittua
038,0,n,9,alituinen
099,0,n,10,alituiseen
099,0,i,11,alituisesti
039,0,s,6,alitus
099,0,n,9,alitusten
056,D,a,5,alkaa
099,0,n,6,alkaen
010,0,a,6,alkaja
038,0,t,10,alkajaiset
006,0,i,6,alkali
038,0,n,9,alkalinen
040,0,s,10,alkalisuus
005,0,i,9,alkaloidi
009,D,a,11,alkamisaika
038,0,n,11,alkeellinen
099,0,i,13,alkeellisesti
